StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Belowground Slow,,,21.3934,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Belowground Very Fast,,,0.1764,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Snag Branch,,,0.584,,,,,,,,,,,,,
Shrubland: Native Sage Steppe,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Fine Roots,,,1.2558,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Foliage,,,1.7073,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Other Wood,,,0.587,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Aboveground Fast,,,0.7481,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Aboveground Slow,,,5.5873,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Aboveground Very Fast,,,0.8493,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Belowground Slow,,,26.7409,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Belowground Very Fast,,,0.3331,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Snag Branch,,,1.2016,,,,,,,,,,,,,
Shrubland: Non-sage,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Fine Roots,,,0.6524,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Foliage,,,0.8604,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Other Wood,,,0.3137,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Aboveground Fast,,,0.9328,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Aboveground Slow,,,6.6242,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Aboveground Very Fast,,,1.0324,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Belowground Slow,,,20.6884,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Belowground Very Fast,,,0.1578,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Snag Branch,,,0.5657,,,,,,,,,,,,,
Shrubland: Post Fire Shrub,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Fine Roots,,,0.67,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Foliage,,,0.873,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Other Wood,,,0.3211,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Aboveground Fast,,,1.2301,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Aboveground Slow,,,8.2285,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Aboveground Very Fast,,,1.5835,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Belowground Slow,,,23.815,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Belowground Very Fast,,,0.2337,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Snag Branch,,,0.6232,,,,,,,,,,,,,
Shrubland: Sage,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
