Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Shrubland: Sage,,,Net Growth Non Forest: Atmosphere -> Coarse Roots [Type],,0.0978,,,,,
,,,,,Shrubland: Sage,,,Net Growth Non Forest: Atmosphere -> Fine Roots [Type],,0.3882,,,,,
,,,,,Shrubland: Sage,,,Net Growth Non Forest: Atmosphere -> Foliage [Type],,0.3182,,,,,
,,,,,Shrubland: Sage,,,Net Growth Non Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Shrubland: Sage,,,Net Growth Non Forest: Atmosphere -> Other Wood [Type],,0.1956,,,,,
,,,,,Shrubland: Sage,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Shrubland: Sage,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Shrubland: Sage,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.0238,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.0238,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.2501,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.2501,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5003,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.005,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.0357,,,,,
,,,,,Shrubland: Non-sage,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.0119,,,,,
,,,,,Shrubland: Non-sage,,,Decay: AG Fast -> AG Slow [Type],,0.0298,,,,,
