Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Forest: Longleaf/Slash Pine Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Longleaf/Slash Pine Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Longleaf/Slash Pine Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Longleaf/Slash Pine Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Maple/Beech/Birch Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Maple/Beech/Birch Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Maple/Beech/Birch Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Maple/Beech/Birch Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Maple/Beech/Birch Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Oak/Gum/Cypress Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Oak/Gum/Cypress Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Oak/Gum/Cypress Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Oak/Gum/Cypress Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Oak/Gum/Cypress Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Oak/Hickory Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Oak/Hickory Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Oak/Hickory Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Oak/Hickory Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Oak/Hickory Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Oak/Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Oak/Pine Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Oak/Pine Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Oak/Pine Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Oak/Pine Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Other Western Hardwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Other Western Hardwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Other Western Hardwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Other Western Hardwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Other Western Hardwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Other Western Softwood Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Other Western Softwood Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Other Western Softwood Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Other Western Softwood Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Other Western Softwood Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Pinyon/Juniper Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Pinyon/Juniper Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Pinyon/Juniper Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Pinyon/Juniper Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Pinyon/Juniper Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Ponderosa Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Ponderosa Pine Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Ponderosa Pine Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Ponderosa Pine Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Ponderosa Pine Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Redwood Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Redwood Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Redwood Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Redwood Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Redwood Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Spruce/Fir Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Spruce/Fir Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Spruce/Fir Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Spruce/Fir Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Spruce/Fir Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Tanoak/Laurel Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Tanoak/Laurel Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Tanoak/Laurel Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Tanoak/Laurel Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Tanoak/Laurel Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Tropical Hardwoods Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Tropical Hardwoods Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Tropical Hardwoods Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Tropical Hardwoods Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Tropical Hardwoods Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Western Larch Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Western Larch Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Western Larch Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Western Larch Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Western Larch Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Western Oak Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
,,,,,Forest: Western Oak Group,,Atmosphere,,,,Biomass: Fine Root,,Net Growth,Net Growth Forest: Atmosphere -> Fine Roots,,1.0000,,,,,
,,,,,Forest: Western Oak Group,,Atmosphere,,,,Biomass: Foliage,,Net Growth,Net Growth Forest: Atmosphere -> Foliage,,1.0000,,,,,
,,,,,Forest: Western Oak Group,,Atmosphere,,,,Biomass: Merchantable,,Net Growth,Net Growth Forest: Atmosphere -> Merchantable,,1.0000,,,,,
,,,,,Forest: Western Oak Group,,Atmosphere,,,,Biomass: Other Wood,,Net Growth,Net Growth Forest: Atmosphere -> Other Wood,,1.0000,,,,,
,,,,,Forest: Western White Pine Group,,Atmosphere,,,,Biomass: Coarse Root,,Net Growth,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0000,,,,,
