Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland: Estuarine Forested,11,11,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.106,,,,,
,,,,,Wetland: Estuarine Forested,11,11,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.267,,,,,
,,,,,Wetland: Estuarine Forested,11,11,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1959,,,,,
,,,,,Wetland: Estuarine Forested,11,11,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2436,,,,,
,,,,,Wetland: Estuarine Forested,11,11,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1876,,,,,
,,,,,Wetland: Estuarine Forested,12,12,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1021,,,,,
,,,,,Wetland: Estuarine Forested,12,12,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2706,,,,,
,,,,,Wetland: Estuarine Forested,12,12,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2067,,,,,
,,,,,Wetland: Estuarine Forested,12,12,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.241,,,,,
,,,,,Wetland: Estuarine Forested,12,12,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1797,,,,,
,,,,,Wetland: Estuarine Forested,13,13,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0963,,,,,
,,,,,Wetland: Estuarine Forested,13,13,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.282,,,,,
,,,,,Wetland: Estuarine Forested,13,13,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2221,,,,,
,,,,,Wetland: Estuarine Forested,13,13,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2407,,,,,
,,,,,Wetland: Estuarine Forested,13,13,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1589,,,,,
,,,,,Wetland: Estuarine Forested,14,14,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0934,,,,,
,,,,,Wetland: Estuarine Forested,14,14,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2858,,,,,
,,,,,Wetland: Estuarine Forested,14,14,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2321,,,,,
,,,,,Wetland: Estuarine Forested,14,14,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2564,,,,,
,,,,,Wetland: Estuarine Forested,14,14,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1324,,,,,
,,,,,Wetland: Estuarine Forested,15,15,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0914,,,,,
,,,,,Wetland: Estuarine Forested,15,15,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.287,,,,,
,,,,,Wetland: Estuarine Forested,15,15,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2397,,,,,
,,,,,Wetland: Estuarine Forested,15,15,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2452,,,,,
,,,,,Wetland: Estuarine Forested,15,15,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1366,,,,,
,,,,,Wetland: Estuarine Forested,16,16,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0894,,,,,
,,,,,Wetland: Estuarine Forested,16,16,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2887,,,,,
,,,,,Wetland: Estuarine Forested,16,16,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2474,,,,,
,,,,,Wetland: Estuarine Forested,16,16,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2346,,,,,
,,,,,Wetland: Estuarine Forested,16,16,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1398,,,,,
